id,name,level,quality,gear_score,category,aliases
17751,洞察背包,5,0,5,其他,洞察包
17752,洞察背包,5,1,6,其他,洞察包
17753,洞察背包,5,2,7,其他,洞察包
17754,洞察背包,5,3,8,其他,洞察包
17755,洞察背包,5,4,9,其他,洞察包
17726,背包,5,0,5,其他,
17727,背包,5,1,6,其他,
17728,背包,5,2,7,其他,
17729,背包,5,3,8,其他,
17730,背包,5,4,9,其他,
17756,洞察背包,6,0,6,其他,洞察包
17757,洞察背包,6,1,7,其他,洞察包
17758,洞察背包,6,2,8,其他,洞察包
17759,洞察背包,6,3,9,其他,洞察包
17760,洞察背包,6,4,10,其他,洞察包
17731,背包,6,0,6,其他,
17732,背包,6,1,7,其他,
17733,背包,6,2,8,其他,
17734,背包,6,3,9,其他,
17735,背包,6,4,10,其他,
17761,洞察背包,7,0,7,其他,洞察包
17762,洞察背包,7,1,8,其他,洞察包
17763,洞察背包,7,2,9,其他,洞察包
17764,洞察背包,7,3,10,其他,洞察包
17765,洞察背包,7,4,11,其他,洞察包
17736,背包,7,0,7,其他,
17737,背包,7,1,8,其他,
17738,背包,7,2,9,其他,
17739,背包,7,3,10,其他,
17740,背包,7,4,11,其他,
17766,洞察背包,8,0,8,其他,洞察包
17767,洞察背包,8,1,9,其他,洞察包
17768,洞察背包,8,2,10,其他,洞察包
17769,洞察背包,8,3,11,其他,洞察包
17770,洞察背包,8,4,12,其他,洞察包
17741,背包,8,0,8,其他,
17742,背包,8,1,9,其他,
17743,背包,8,2,10,其他,
17744,背包,8,3,11,其他,
17745,背包,8,4,12,其他,
17746,洞察背包,4,0,4,其他,洞察包
17747,洞察背包,4,1,5,其他,洞察包
17748,洞察背包,4,2,6,其他,洞察包
17749,洞察背包,4,3,7,其他,洞察包
17750,洞察背包,4,4,8,其他,洞察包
17721,背包,4,0,4,其他,
17722,背包,4,1,5,其他,
17723,背包,4,2,6,其他,
17724,背包,4,3,7,其他,
17725,背包,4,4,8,其他,
17191,Rosalia的日记,8,0,8,副手,
17192,Rosalia的日记,8,1,9,副手,
17193,Rosalia的日记,8,2,10,副手,
17194,Rosalia的日记,8,3,11,副手,
17195,Rosalia的日记,8,4,12,副手,
17176,咒书,5,0,5,副手,"书,50书"
17177,咒书,5,1,6,副手,
17178,咒书,5,2,7,副手,
17179,咒书,5,3,8,副手,
17180,咒书,5,4,9,副手,
17326,唤雾号角,5,0,5,副手,
17327,唤雾号角,5,1,6,副手,
17328,唤雾号角,5,2,7,副手,
17329,唤雾号角,5,3,8,副手,
17330,唤雾号角,5,4,9,副手,
17226,怨灵之链,5,0,5,副手,狗链
17227,怨灵之链,5,1,6,副手,狗链
17228,怨灵之链,5,2,7,副手,狗链
17229,怨灵之链,5,3,8,副手,狗链
17230,怨灵之链,5,4,9,副手,狗链
17101,怯懦盾牌,5,0,5,副手,
17102,怯懦盾牌,5,1,6,副手,
17103,怯懦盾牌,5,2,7,副手,
17104,怯懦盾牌,5,3,8,副手,
17105,怯懦盾牌,5,4,9,副手,
17151,星域神盾,5,0,5,副手,
17152,星域神盾,5,1,6,副手,
17153,星域神盾,5,2,7,副手,
17154,星域神盾,5,3,8,副手,
17155,星域神盾,5,4,9,副手,
17301,火把,5,0,5,副手,
17302,火把,5,1,6,副手,
17303,火把,5,2,7,副手,
17304,火把,5,3,8,副手,
17305,火把,5,4,9,副手,
17051,盾牌,5,0,5,副手,
17052,盾牌,5,1,6,副手,
17053,盾牌,5,2,7,副手,
17054,盾牌,5,3,8,副手,
17055,盾牌,5,4,9,副手,
17076,石棺之盾,5,0,5,副手,
17077,石棺之盾,5,1,6,副手,
17078,石棺之盾,5,2,7,副手,
17079,石棺之盾,5,3,8,副手,
17080,石棺之盾,5,4,9,副手,
17126,破面之盾,5,0,5,副手,
17127,破面之盾,5,1,6,副手,
17128,破面之盾,5,2,7,副手,
17129,破面之盾,5,3,8,副手,
17130,破面之盾,5,4,9,副手,
17351,神圣权杖,5,0,5,副手,
17352,神圣权杖,5,1,6,副手,
17353,神圣权杖,5,2,7,副手,
17354,神圣权杖,5,3,8,副手,
17355,神圣权杖,5,4,9,副手,
17201,秘密之眼,5,0,5,副手,"宝珠,回蓝珠"
17202,秘密之眼,5,1,6,副手,"宝珠,回蓝珠"
17203,秘密之眼,5,2,7,副手,"宝珠,回蓝珠"
17204,秘密之眼,5,3,8,副手,"宝珠,回蓝珠"
17205,秘密之眼,5,4,9,副手,"宝珠,回蓝珠"
17276,苍空香炉,5,0,5,副手,
17277,苍空香炉,5,1,6,副手,
17278,苍空香炉,5,2,7,副手,
17279,苍空香炉,5,3,8,副手,
17280,苍空香炉,5,4,9,副手,
17376,茔烛,5,0,5,副手,
17377,茔烛,5,1,6,副手,
17378,茔烛,5,2,7,副手,
17379,茔烛,5,3,8,副手,
17380,茔烛,5,4,9,副手,
17251,萨满祭环,5,0,5,副手,血牌
17252,萨满祭环,5,1,6,副手,血牌
17253,萨满祭环,5,2,7,副手,血牌
17254,萨满祭环,5,3,8,副手,血牌
17255,萨满祭环,5,4,9,副手,血牌
17401,邪杖,5,0,5,副手,
17402,邪杖,5,1,6,副手,
17403,邪杖,5,2,7,副手,
17404,邪杖,5,3,8,副手,
17405,邪杖,5,4,9,副手,
17181,咒书,6,0,6,副手,
17182,咒书,6,1,7,副手,
17183,咒书,6,2,8,副手,
17184,咒书,6,3,9,副手,
17185,咒书,6,4,10,副手,
17331,唤雾号角,6,0,6,副手,
17332,唤雾号角,6,1,7,副手,
17333,唤雾号角,6,2,8,副手,
17334,唤雾号角,6,3,9,副手,
17335,唤雾号角,6,4,10,副手,
17231,怨灵之链,6,0,6,副手,狗链
17232,怨灵之链,6,1,7,副手,狗链
17233,怨灵之链,6,2,8,副手,狗链
17234,怨灵之链,6,3,9,副手,狗链
17235,怨灵之链,6,4,10,副手,狗链
17106,怯懦盾牌,6,0,6,副手,
17107,怯懦盾牌,6,1,7,副手,
17108,怯懦盾牌,6,2,8,副手,
17109,怯懦盾牌,6,3,9,副手,
17110,怯懦盾牌,6,4,10,副手,
17156,星域神盾,6,0,6,副手,
17157,星域神盾,6,1,7,副手,
17158,星域神盾,6,2,8,副手,
17159,星域神盾,6,3,9,副手,
17160,星域神盾,6,4,10,副手,
17306,火把,6,0,6,副手,
