id	name	level	quality	gear_score	category	aliases
17751	专家级洞察背包	5	0	5	其他	NULL
17752	专家级洞察背包	5	1	6	其他	NULL
17753	专家级洞察背包	5	2	7	其他	NULL
17754	专家级洞察背包	5	3	8	其他	NULL
17755	专家级洞察背包	5	4	9	其他	NULL
17726	专家级背包	5	0	5	其他	NULL
17727	专家级背包	5	1	6	其他	NULL
17728	专家级背包	5	2	7	其他	NULL
17729	专家级背包	5	3	8	其他	NULL
17730	专家级背包	5	4	9	其他	NULL
17756	大师级洞察背包	6	0	6	其他	NULL
17757	大师级洞察背包	6	1	7	其他	NULL
17758	大师级洞察背包	6	2	8	其他	NULL
17759	大师级洞察背包	6	3	9	其他	NULL
17760	大师级洞察背包	6	4	10	其他	NULL
17731	大师级背包	6	0	6	其他	NULL
17732	大师级背包	6	1	7	其他	NULL
17733	大师级背包	6	2	8	其他	NULL
17734	大师级背包	6	3	9	其他	NULL
17735	大师级背包	6	4	10	其他	NULL
17761	宗师级洞察背包	7	0	7	其他	NULL
17762	宗师级洞察背包	7	1	8	其他	NULL
17763	宗师级洞察背包	7	2	9	其他	NULL
17764	宗师级洞察背包	7	3	10	其他	NULL
17765	宗师级洞察背包	7	4	11	其他	NULL
17736	宗师级背包	7	0	7	其他	NULL
17737	宗师级背包	7	1	8	其他	NULL
17738	宗师级背包	7	2	9	其他	NULL
17739	宗师级背包	7	3	10	其他	NULL
17740	宗师级背包	7	4	11	其他	NULL
21407	密封的皇家徽章	4	0	4	其他	NULL
23515	密封的皇家徽章	4	1	5	其他	NULL
23516	密封的皇家徽章	4	2	6	其他	NULL
23517	密封的皇家徽章	4	3	7	其他	NULL
23518	密封的皇家徽章	4	4	8	其他	NULL
17766	禅师级洞察背包	8	0	8	其他	NULL
17767	禅师级洞察背包	8	1	9	其他	NULL
17768	禅师级洞察背包	8	2	10	其他	NULL
17769	禅师级洞察背包	8	3	11	其他	NULL
17770	禅师级洞察背包	8	4	12	其他	NULL
17741	禅师级背包	8	0	8	其他	NULL
17742	禅师级背包	8	1	9	其他	NULL
